codigo_ibge;municipio;ano;rendimento_kgha;producao_ton
4300034;Aceguá - RS;2019;2100;52500
4300034;Aceguá - RS;2020;1050;26250
4300034;Aceguá - RS;2021;2520;63000
4300034;Aceguá - RS;2022;1625;48750
4300034;Aceguá - RS;2023;1250;35000
4300059;Água Santa - RS;2019;3900;58500
4300059;Água Santa - RS;2020;2340;34632
4300059;Água Santa - RS;2021;3480;50460
4300059;Água Santa - RS;2022;2730;39585
4300059;Água Santa - RS;2023;1950;27690
4300109;Agudo - RS;2019;2979;2830
4300109;Agudo - RS;2020;720;720
4300109;Agudo - RS;2021;3500;3500
4300109;Agudo - RS;2022;1800;2700
4300109;Agudo - RS;2023;1200;1800
4300208;Ajuricaba - RS;2019;3780;75600
4300208;Ajuricaba - RS;2020;2061;41220
4300208;Ajuricaba - RS;2021;3900;78000
4300208;Ajuricaba - RS;2022;720;14418
4300208;Ajuricaba - RS;2023;1576;33980
4300307;Alecrim - RS;2019;2400;5280
4300307;Alecrim - RS;2020;3000;6600
4300307;Alecrim - RS;2021;3000;6600
4300307;Alecrim - RS;2022;720;1656
4300307;Alecrim - RS;2023;1140;2622
4300406;Alegrete - RS;2019;2400;91200
4300406;Alegrete - RS;2020;1200;72000
4300406;Alegrete - RS;2021;2700;162000
4300406;Alegrete - RS;2022;600;51000
4300406;Alegrete - RS;2023;720;72000
4300455;Alegria - RS;2019;3008;20413
4300455;Alegria - RS;2020;2716;20185
4300455;Alegria - RS;2021;2716;20185
4300455;Alegria - RS;2022;655;4675
4300455;Alegria - RS;2023;2120;15600
4300471;Almirante Tamandaré do Sul - RS;2019;4200;71106
4300471;Almirante Tamandaré do Sul - RS;2020;3547;59023
4300471;Almirante Tamandaré do Sul - RS;2021;3906;65001
4300471;Almirante Tamandaré do Sul - RS;2022;2288;37290
4300471;Almirante Tamandaré do Sul - RS;2023;1694;27993
4300505;Alpestre - RS;2019;2716;2390
4300505;Alpestre - RS;2020;1958;2350
4300505;Alpestre - RS;2021;2883;4036
4300505;Alpestre - RS;2022;1445;2457
4300505;Alpestre - RS;2023;2743;4663
4300554;Alto Alegre - RS;2019;3000;18000
4300554;Alto Alegre - RS;2020;1200;7200
4300554;Alto Alegre - RS;2021;3900;23400
4300554;Alto Alegre - RS;2022;1000;5600
4300554;Alto Alegre - RS;2023;1451;8719
4300570;Alto Feliz - RS;2019;0;0
4300570;Alto Feliz - RS;2020;0;0
4300570;Alto Feliz - RS;2021;0;0
4300570;Alto Feliz - RS;2022;0;0
4300570;Alto Feliz - RS;2023;0;0
4300604;Alvorada - RS;2019;2000;70
4300604;Alvorada - RS;2020;1400;42
4300604;Alvorada - RS;2021;0;0
4300604;Alvorada - RS;2022;0;0
4300604;Alvorada - RS;2023;1500;60
4300638;Amaral Ferrador - RS;2019;2100;4200
4300638;Amaral Ferrador - RS;2020;1440;2880
4300638;Amaral Ferrador - RS;2021;2400;4800
4300638;Amaral Ferrador - RS;2022;2700;5400
4300638;Amaral Ferrador - RS;2023;1800;7200
4300646;Ametista do Sul - RS;2019;3000;1410
4300646;Ametista do Sul - RS;2020;1500;900
4300646;Ametista do Sul - RS;2021;3120;1872
4300646;Ametista do Sul - RS;2022;1350;945
4300646;Ametista do Sul - RS;2023;2400;1920
4300661;André da Rocha - RS;2019;3300;49500
4300661;André da Rocha - RS;2020;1368;21888
4300661;André da Rocha - RS;2021;3120;56160
4300661;André da Rocha - RS;2022;1500;19380
4300661;André da Rocha - RS;2023;2100;30450
4300703;Anta Gorda - RS;2019;3900;1053
4300703;Anta Gorda - RS;2020;1646;576
4300703;Anta Gorda - RS;2021;3600;1620
4300703;Anta Gorda - RS;2022;1500;900
4300703;Anta Gorda - RS;2023;1800;1260
4300802;Antônio Prado - RS;2019;0;0
4300802;Antônio Prado - RS;2020;0;0
4300802;Antônio Prado - RS;2021;0;0
4300802;Antônio Prado - RS;2022;0;0
4300802;Antônio Prado - RS;2023;0;0
4300851;Arambaré - RS;2019;2520;20412
4300851;Arambaré - RS;2020;1008;8699
4300851;Arambaré - RS;2021;3600;32976
4300851;Arambaré - RS;2022;2760;28831
4300851;Arambaré - RS;2023;2400;30456
4300877;Araricá - RS;2019;0;0
4300877;Araricá - RS;2020;0;0
4300877;Araricá - RS;2021;0;0
4300877;Araricá - RS;2022;0;0
4300877;Araricá - RS;2023;0;0
4300901;Aratiba - RS;2019;3300;3960
4300901;Aratiba - RS;2020;2100;2520
4300901;Aratiba - RS;2021;3533;4240
4300901;Aratiba - RS;2022;1500;2250
4300901;Aratiba - RS;2023;2100;3780
4301008;Arroio do Meio - RS;2019;3600;4320
4301008;Arroio do Meio - RS;2020;1899;1899
4301008;Arroio do Meio - RS;2021;3938;4332
4301008;Arroio do Meio - RS;2022;1420;1193
4301008;Arroio do Meio - RS;2023;3000;3600
4301057;Arroio do Sal - RS;2019;0;0
4301057;Arroio do Sal - RS;2020;0;0
4301057;Arroio do Sal - RS;2021;0;0
4301057;Arroio do Sal - RS;2022;2500;750
4301057;Arroio do Sal - RS;2023;3300;990
4301073;Arroio do Padre - RS;2019;3000;1500
4301073;Arroio do Padre - RS;2020;960;480
4301073;Arroio do Padre - RS;2021;3300;1650
4301073;Arroio do Padre - RS;2022;2720;1632
4301073;Arroio do Padre - RS;2023;2880;1872
4301107;Arroio dos Ratos - RS;2019;2400;8400
4301107;Arroio dos Ratos - RS;2020;900;3420
4301107;Arroio dos Ratos - RS;2021;2700;10260
4301107;Arroio dos Ratos - RS;2022;2400;10800
4301107;Arroio dos Ratos - RS;2023;1600;8799
4301206;Arroio do Tigre - RS;2019;3600;34200
4301206;Arroio do Tigre - RS;2020;1500;13500
4301206;Arroio do Tigre - RS;2021;3480;32364
4301206;Arroio do Tigre - RS;2022;1680;14843
4301206;Arroio do Tigre - RS;2023;1800;17100
4301305;Arroio Grande - RS;2019;2280;96900
4301305;Arroio Grande - RS;2020;1860;82826
4301305;Arroio Grande - RS;2021;3318;156344
4301305;Arroio Grande - RS;2022;2580;124872
4301305;Arroio Grande - RS;2023;1560;101993
4301404;Arvorezinha - RS;2019;3300;5280
4301404;Arvorezinha - RS;2020;1800;3060
4301404;Arvorezinha - RS;2021;3600;6300
